,Team,Avg_Wins,Avg_Ladder_Position,Top 4,Top 6,Top 10,Spooners,Premiers,Runner up,Prelim,Semi Final,Elim Final,Wildcard
0,Fremantle,19.4,1.09,99.97,100.0,100.0,0.0,31.33,27.64,32.21,8.8,0.02,0.0
1,Sydney,17.14,2.36,96.71000000000001,99.38000000000001,99.99000000000001,0.0,19.44,23.9,38.51,16.53,1.3399999999999999,0.27
2,Hawthorn,15.42,4.09,64.31,91.43,99.81000000000002,0.0,16.09,12.61,29.76,24.75,13.030000000000001,3.5599999999999996
3,Brisbane Lions,15.3,4.33,61.96,91.88,99.82999999999998,0.0,16.0,14.36,30.41,23.82,12.09,3.15
4,Adelaide,14.42,5.44,35.15,70.42,98.23,0.0,4.47,7.46,20.04,27.560000000000002,24.73,13.969999999999999
5,Melbourne,14.3,5.74,32.35,68.08,98.17,0.0,6.38,6.17,19.56,26.87,24.25,14.940000000000001
6,Geelong,13.04,7.29,4.5,37.099999999999994,93.32,0.0,2.5,2.63,9.77,20.86,30.439999999999998,27.119999999999997
7,Western Bulldogs,13.04,8.47,3.18,17.83,81.47,0.0,0.93,1.5,5.41,13.69,25.53,34.39
8,Collingwood,11.84,9.52,1.26,8.030000000000001,65.37,0.0,0.98,1.1,4.45,10.620000000000001,19.41,28.79
9,Greater Western Sydney,11.75,9.42,0.38,8.84,70.00999999999999,0.0,0.8,1.22,4.47,11.89,21.66,29.950000000000003
10,St Kilda,11.69,10.25,0.21,5.75,52.94,0.0,0.72,0.99,3.5999999999999996,9.370000000000001,16.09,22.18
11,Carlton,10.58,12.1,0.02,0.63,20.46,0.0,0.27,0.29,1.13,2.99,5.9,9.870000000000001
12,North Melbourne,9.92,12.51,0.02,0.58,11.99,0.0,0.04,0.07,0.38,1.3599999999999999,3.25,6.880000000000001
13,Gold Coast,9.0,13.23,0.0,0.060000000000000005,7.220000000000001,0.0,0.02,0.04,0.2,0.67,1.92,4.359999999999999
14,Port Adelaide,8.67,14.16,0.0,0.0,1.22,0.0,0.02,0.03,0.06999999999999999,0.19,0.33999999999999997,0.56
15,West Coast,5.39,16.14,0.0,0.0,0.0,0.74,,,0.0,0.0,0.0,0.0
16,Richmond,3.14,17.14,0.0,0.0,0.0,27.48,,,0.0,0.0,0.0,0.0
17,Essendon,1.94,17.7,0.0,0.0,0.0,71.79,,,0.0,0.0,0.0,0.0
