team,orating,drating,combined
Hawthorn,28.40575591120453,17.963953497380164,23.18485470429235
Sydney,29.2951807857038,15.911429619175726,22.603305202439763
Western Bulldogs,35.01274869628923,1.9758466452516288,18.49429767077043
Brisbane Lions,32.12008513425195,4.808743205297797,18.464414169774873
Geelong,33.63790150807853,1.7496055577112135,17.69375353289487
Fremantle,18.933559447341676,7.757851223939854,13.345705335640766
Melbourne,17.65401491754842,-5.208759840112976,6.222627538717722
Gold Coast,6.804012706053521,-3.860537069800311,1.4717378181266048
Adelaide,-1.025225231376612,-2.067777068882991,-1.5465011501298014
Collingwood,-14.558189582050652,8.47638995551495,-3.040899813267851
St Kilda,3.414116844491066,-9.509954644262336,-3.0479188998856355
Greater Western Sydney,0.6742263132919852,-8.985072990586113,-4.155423338647064
North Melbourne,-5.591364428548462,-12.995053963355252,-9.293209195951857
Port Adelaide,-9.189594232224284,-13.99844575042603,-11.594019991325156
Carlton,-9.55013997590457,-13.798120069841032,-11.6741300228728
Richmond,-30.383463380020437,-12.646836167861307,-21.515149773940873
Essendon,-27.767631916549448,-26.39094896616067,-27.07929044135506
West Coast,-22.30364124317265,-34.75541984650717,-28.52953054483991
